iter	RMSE
0	0.1271950508
1	0.1269463722
2	0.1267372792
3	0.1264920997
4	0.1262376933
5	0.1260293158
6	0.1256760544
7	0.1254234778
8	0.1252047104
9	0.1249318817
10	0.1246753786
11	0.124405277
12	0.124207547
13	0.1239849937
14	0.123738553
15	0.1236309153
16	0.1234196881
17	0.1231168798
18	0.1228974811
19	0.1225859076
20	0.1223621174
21	0.1221359497
22	0.1218674335
23	0.1216618357
24	0.1213519536
25	0.1211525965
26	0.1209341523
27	0.120761058
28	0.1205598654
29	0.1203345534
30	0.1202509381
31	0.120107894
32	0.1198905533
33	0.1196726777
34	0.1194590672
35	0.1192632786
36	0.1191053703
37	0.1189126301
38	0.1187188636
39	0.1185312237
40	0.1183000937
41	0.1181449126
42	0.1179774148
43	0.1176777044
44	0.1174816216
45	0.1173934682
46	0.1170684916
47	0.1169215136
48	0.1167501843
49	0.1165212273
50	0.1163434098
51	0.1160563287
52	0.115918241
53	0.1158384253
54	0.1156625738
55	0.1154877553
56	0.1152888487
57	0.1151155577
58	0.1149414873
59	0.1147857305
60	0.1146292444
61	0.114479272
62	0.1143209626
63	0.1141373206
64	0.1138769307
65	0.1137236661
66	0.1135744273
67	0.1133725181
68	0.1131954167
69	0.1130498627
70	0.1128505114
71	0.1126597621
72	0.1124901829
73	0.1122934453
74	0.1121310116
75	0.1120012072
76	0.1118434642
77	0.1116045719
78	0.1115280895
79	0.1113344061
80	0.1111741754
81	0.1110060129
82	0.1109120906
83	0.1106553361
84	0.1105052657
85	0.1103491667
86	0.1101542325
87	0.1099912561
88	0.1097517861
89	0.1094578803
90	0.109300773
91	0.1091133666
92	0.1088779697
93	0.1088004856
94	0.1085474592
95	0.1083774276
96	0.1081448572
97	0.1079933909
98	0.1078366675
99	0.1076158482
100	0.1074522263
101	0.1073154392
102	0.1071297772
103	0.106881443
104	0.1066644911
105	0.1064105531
106	0.1063158405
107	0.1061583919
108	0.1058956503
109	0.1057306271
110	0.1056589544
111	0.1054931415
112	0.1053583501
113	0.1051816361
114	0.1050432293
115	0.1048396488
116	0.1046755863
117	0.1045123447
118	0.1044118656
119	0.1042026342
120	0.1040478991
121	0.1038600816
122	0.1036750529
123	0.1035344068
124	0.1034036632
125	0.1032556943
126	0.1031000881
127	0.1029574632
128	0.1028307915
129	0.1026945447
130	0.1024649403
131	0.102293835
132	0.1021307496
133	0.1019589617
134	0.1018318887
135	0.1016310291
136	0.1014908093
137	0.1013514174
