iter	Passed	Remaining
214	2261	2997
215	2270	2985
216	2276	2968
217	2282	2952
218	2288	2935
219	2295	2921
220	2302	2906
221	2308	2890
222	2314	2874
223	2323	2862
224	2331	2850
225	2338	2834
226	2344	2820
227	2352	2806
228	2359	2791
229	2365	2776
230	2372	2763
231	2381	2751
232	2401	2752
233	2407	2736
234	2412	2720
235	2417	2704
236	2422	2688
237	2429	2674
238	2435	2659
239	2442	2646
240	2448	2631
241	2454	2617
242	2462	2604
243	2473	2595
244	2482	2583
245	2488	2569
246	2497	2557
247	2504	2544
248	2512	2533
249	2520	2520
250	2527	2506
251	2533	2493
252	2538	2478
253	2544	2464
254	2550	2450
255	2555	2435
256	2559	2420
257	2567	2408
258	2575	2396
259	2581	2383
260	2588	2370
261	2595	2357
262	2601	2344
263	2608	2331
264	2613	2317
265	2619	2304
266	2626	2291
267	2633	2280
268	2640	2267
269	2646	2254
270	2651	2240
271	2656	2226
272	2661	2213
273	2673	2205
274	2680	2193
275	2688	2181
276	2698	2172
277	2703	2159
278	2709	2146
279	2716	2134
280	2723	2122
281	2729	2109
282	2737	2099
283	2744	2087
284	2752	2076
285	2758	2064
286	2763	2051
287	2769	2038
288	2775	2026
289	2783	2015
290	2788	2003
291	2794	1990
292	2800	1978
293	2805	1965
294	2809	1952
295	2816	1940
296	2823	1929
297	2831	1919
298	2838	1908
299	2844	1896
300	2851	1885
301	2857	1873
302	2863	1861
303	2870	1850
304	2877	1839
305	2885	1829
306	2890	1817
307	2896	1805
308	2901	1793
309	2906	1781
310	2915	1771
311	2923	1761
312	2930	1750
313	2937	1740
314	2944	1729
315	2950	1718
316	2966	1712
317	2974	1702
318	2980	1690
319	2987	1680
320	2994	1669
321	3000	1658
322	3006	1647
323	3011	1636
324	3017	1624
325	3022	1613
326	3029	1602
327	3035	1591
328	3040	1580
329	3047	1569
330	3053	1559
331	3060	1548
332	3067	1538
333	3071	1526
334	3076	1515
335	3081	1504
336	3086	1493
337	3091	1481
338	3096	1470
339	3103	1460
340	3107	1449
341	3112	1438
342	31342	3095343	31343	3102344	31344	3109345	31345	3115346	31346	3122347	31347	3130348	3160	1367
349	3167	1357
350	3174	1347
351	3181	1337
352	3187	1327
353	3195	1317
354	32354	3179355	32355	3187356	32356	3195357	32357	3201358	32358	3207359	32359	3212360	32360	3217361	32361	3223362	32362	3228363	32363	3234364	32364	3241365	32365	3248366	32366	3255367	32367	3262368	32368	3269369	32369	3276370	32370	3283371	33371	3289372	33372	3296373	33373	3301374	33374	3307375	3335	1099
376	3341	1090
377	3347	1080
378	3353	1070
379	3358	1060
380	3364	1050
381	3369	1040
382	3374	1030
383	33383	3357384	33384	3364385	33385	3370386	3386	3376387	3387	3381388	3388	3386389	3389	3391390	3390	3397391	3430	945
392	3435	935
393	3441	925
394	3447	916
395	3464	909
396	3471	900
397	3476	891
398	3481	881
399	3486	871
400	3492	862
401	3497	852
402	3502	843
403	3523	837
404	3529	827
405	3534	818
406	3539	808
407	3545	799
408	3550	789
409	3555	780
410	3560	770
411	3566	761
412	3571	752
413	3576	743
414	3582	733
415	3588	724
416	3593	715
417	3599	706
418	3605	696
419	3610	687
420	3614	678
421	3619	668
422	3623	659
423	3628	650
424	3632	641
425	3637	631
426	3643	622
427	3650	614
428	3656	605
429	3664	596
430	3670	587
431	3676	578
432	3682	569
433	3687	560
434	3692	551
435	3697	542
436	3705	534
437	3709	525
438	3713	515
439	3718	507
440	3724	498
441	3728	489
442	3731	480
443	3736	471
444	3742	462
445	3747	453
446	3753	445
447	3759	436
448	3765	427
449	3773	419
450	3779	410
451	3784	401
452	3790	393
453	3797	384
454	3804	376
455	3811	367
456	3817	359
457	3824	350
458	3830	342
459	3835	333
460	3841	324
461	3845	316
462	3849	307
463	3855	299
464	3862	290
465	3869	282
466	3876	273
467	3884	265
468	3891	257
469	3895	248
470	3900	240
471	3907	231
472	3913	223
473	3918	214
474	3922	206
475	3926	197
476	3930	189
477	3935	181
478	3939	172
479	3943	164
480	3949	156
481	3954	147
482	3958	139
483	3963	131
484	3968	122
485	3972	114
486	3978	106
487	3982	97
488	3987	89
489	3992	81
490	3998	73
491	4003	65
492	4008	56
493	4012	48
494	4014	40
495	4018	32
496	4021	24
497	4024	16
498	4027	8
499	4029	0
81	0
