,Best Params,Mean CV MSE,Test MSE,Test MAE,Test R2,Test MAPE
XGBoost,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.005352117847077116,0.0037977155774622084,0.047283924661644265,-0.0217043049575818,10.359981985261411
SVM,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.005837287443447352,0.004542836194884818,0.05415004289006402,-0.2221650627487326,11.482215503258445
