Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[8, 0, 1, 0, 0, 4, 1, 0, 8, 2, 1, 0, 8, 3, 7, 0, 8, 2, 1, 0, 0, 32, 0, 0, 0, 4, 0, 0, 8, 1, 3, 0, 8, 1, 1, 0, 0, 32, 1, 0, 8, 7, 5, 0, 0, 4, 0, 0]",0.6931474439951838,0.5,0.0,0.0,0.0,1.0
"[8, 0, 15, 0, 8, 1, 1, 0, 0, 4, 1, 0, 8, 3, 3, 0, 8, 4, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 1, 1, 0, 0, 32, 1, 0, 0, 4, 1, 0, 0, 4, 0, 0]",0.6931472907260973,0.5,0.0,0.0,0.0,1.0
"[8, 0, 7, 0, 8, 1, 27, 0, 0, 32, 1, 0, 0, 4, 0, 0, 8, 4, 3, 0, 0, 32, 0, 0, 0, 4, 1, 0, 0, 4, 0, 0, 8, 1, 1, 0, 0, 32, 0, 0, 0, 4, 1, 0, 8, 1, 1, 0]",0.693150206488006,0.5,0.0,0.0,0.0,1.0
"[0, 30, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 16, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 5, 0, 0, 0, 4, 256, 0, 0, 3, 1, 0, 0, 4, 1, 2, 0]",0.6791303863330763,0.5788436268068331,0.6284796573875803,0.385676741130092,0.4780130293159609,0.7720105124835742
"[1, 0, 0, 0, 0, 16, 0, 1, 1, 0, 0, 0, 0, 8, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 4, 32, 1, 0, 4, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6968721212172995,0.5,0.5,1.0,0.6666666666666666,0.0
