,,Best Params,Mean CV MSE,Test MSE,Test MAE,Test R2,Test MAPE
F1,XGBoost,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8}",0.03775574044829552,0.03343730777508034,0.15099546063626867,0.49370415322465167,40992034297.50612
F1,SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.06077616033369334,0.06657650603209193,0.21689245658665798,-0.008077825033002028,72611489930.2215
