Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[4, 512, 0, 0, 4, 512, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 512, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 512, 2, 0, 4, 512, 0, 0, 4, 512, 3, 0, 7, 0, 0, 0]",0.6931470720998703,0.5,0.0,0.0,0.0,1.0
"[4, 512, 0, 0, 4, 512, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 512, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 512, 2, 0, 4, 512, 0, 0, 4, 512, 3, 0, 7, 0, 0, 0]",0.6931653999513195,0.5,0.3,0.6,0.4,0.4
"[4, 512, 0, 0, 4, 512, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 512, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 512, 2, 0, 4, 512, 0, 0, 4, 512, 3, 0, 7, 0, 0, 0]",0.6932604608997222,0.5,0.2,0.4,0.26666666666666666,0.6
"[4, 512, 0, 0, 4, 512, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 512, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 512, 2, 0, 4, 512, 0, 0, 4, 512, 3, 0, 7, 0, 0, 0]",0.6931917305915587,0.5,0.4,0.8,0.5333333269337409,0.2
"[4, 512, 0, 0, 4, 512, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 512, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 512, 2, 0, 4, 512, 0, 0, 4, 512, 3, 0, 7, 0, 0, 0]",0.6931837054990952,0.5,0.1,0.2,0.13333333333333333,0.8
"[4, 512, 0, 0, 4, 512, 0, 0, 7, 0, 0, 0, 4, 1, 0, 0, 4, 1, 0, 0, 4, 512, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 512, 2, 0, 4, 512, 0, 0, 4, 512, 3, 0, 7, 0, 0, 0]",0.6931947508165913,0.500065724613868,0.20003286230693398,0.4,0.26669587440671777,0.6
