Group1,Group2,p-value,Metric,Test,Statistic,Significance,Significance Level
5,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
10,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,10,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,10,0.14276948952934443,Specificity,Dunn Posthoc Test,,No,0.002
30,10,0.19769406440668014,Specificity,Dunn Posthoc Test,,No,0.002
5,15,0.5582929463924007,Specificity,Dunn Posthoc Test,,No,0.002
10,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
15,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,15,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,20,0.006582528924745911,Specificity,Dunn Posthoc Test,,No,0.002
10,20,0.14276948952934443,Specificity,Dunn Posthoc Test,,No,0.002
15,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,20,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,30,0.010130446880794062,Specificity,Dunn Posthoc Test,,No,0.002
10,30,0.19769406440668014,Specificity,Dunn Posthoc Test,,No,0.002
15,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
20,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
30,30,1.0,Specificity,Dunn Posthoc Test,,No,0.002
5,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,5,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,5,0.14276948952934443,Loss,Dunn Posthoc Test,,No,0.002
5,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,10,0.10177442378203762,Loss,Dunn Posthoc Test,,No,0.002
30,10,1.0,Loss,Dunn Posthoc Test,,No,0.002
5,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,15,1.0,Loss,Dunn Posthoc Test,,No,0.002
20,15,0.8308118696647387,Loss,Dunn Posthoc Test,,No,0.002
30,15,0.9426430684121028,Loss,Dunn Posthoc Test,,No,0.002
5,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
10,20,0.10177442378203762,Loss,Dunn Posthoc Test,,No,0.002
15,20,0.8308118696647387,Loss,Dunn Posthoc Test,,No,0.002
20,20,1.0,Loss,Dunn Posthoc Test,,No,0.002
30,20,0.006582528924745911,Loss,Dunn Posthoc Test,,No,0.002
5,30,0.14276948952934443,Loss,Dunn Posthoc Test,,No,0.002
10,30,1.0,Loss,Dunn Posthoc Test,,No,0.002
15,30,0.9426430684121028,Loss,Dunn Posthoc Test,,No,0.002
20,30,0.006582528924745911,Loss,Dunn Posthoc Test,,No,0.002
30,30,1.0,Loss,Dunn Posthoc Test,,No,0.002
5,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,5,0.4859508699288883,Accuracy,Dunn Posthoc Test,,No,0.002
15,5,0.8308118696647387,Accuracy,Dunn Posthoc Test,,No,0.002
20,5,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,5,0.006582528924745911,Accuracy,Dunn Posthoc Test,,No,0.002
5,10,0.4859508699288883,Accuracy,Dunn Posthoc Test,,No,0.002
10,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,10,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
5,15,0.8308118696647387,Accuracy,Dunn Posthoc Test,,No,0.002
10,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,15,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,15,0.9426430684121028,Accuracy,Dunn Posthoc Test,,No,0.002
5,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
10,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
20,20,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
30,20,0.023049801979101038,Accuracy,Dunn Posthoc Test,,No,0.002
5,30,0.006582528924745911,Accuracy,Dunn Posthoc Test,,No,0.002
10,30,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
15,30,0.9426430684121028,Accuracy,Dunn Posthoc Test,,No,0.002
20,30,0.023049801979101038,Accuracy,Dunn Posthoc Test,,No,0.002
30,30,1.0,Accuracy,Dunn Posthoc Test,,No,0.002
5,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
10,5,1.0,Precision,Dunn Posthoc Test,,No,0.002
