Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity,SynFlow
"[7, 0, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 2, 1, 0, 0, 4, 248, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6941074311733246,0.5,0.5186980609418282,0.4921156373193167,0.5050573162508429,0.5433639947437582,1.302342504292028
"[3, 0, 0, 0, 7, 0, 0, 0, 4, 271, 0, 0, 4, 97, 0, 0, 8, 2, 2, 0, 0, 15, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 11, 0, 0, 6, 38, 4, 0, 3, 0, 0, 0, 1, 4, 0, 0]",0.6931944370269776,0.5,0.5049455984174085,0.6708278580814717,0.5761851015801355,0.3423127463863337,2.243942074259394
"[4, 186, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0, 4, 462, 0, 0, 4, 257, 0, 0, 7, 0, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 2, 1, 0, 0, 6, 35, 4, 0]",0.6932511568069458,0.5,0.5091911764705882,0.1819973718791064,0.2681510164569216,0.8245729303547963,11.025512483145576
"[3, 0, 0, 0, 8, 1, 1, 0, 4, 223, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 0, 28, 1, 0, 7, 0, 0, 0, 6, 10, 1, 0, 3, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6935668051242828,0.5,0.5130853994490359,0.4894875164257556,0.5010087424344317,0.5354796320630749,2.721947126556188
"[3, 0, 0, 0, 7, 0, 0, 0, 4, 224, 0, 0, 3, 0, 0, 0, 6, 51, 1, 0, 0, 21, 1, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 8, 2, 1, 0]",0.6931623995304108,0.5,0.4879890185312285,0.4671484888304862,0.4773413897280967,0.5098554533508541,154.70297226822004
"[8, 0, 1, 0, 4, 470, 0, 0, 1, 4, 0, 0, 0, 12, 0, 0, 6, 27, 4, 0, 7, 0, 0, 0, 8, 2, 2, 0, 0, 5, 1, 0, 7, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 4, 69, 0, 0]",0.6934400737285614,0.5,0.5,0.671484888304862,0.5731912507010656,0.328515111695138,8.817040060414001
"[0, 14, 1, 0, 2, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 8, 1, 2, 0, 1, 4, 0, 0]",0.7047011971473693,0.5,0.5040858018386108,0.6484888304862023,0.5672413793103448,0.3620236530880421,26.007542514242232
"[7, 0, 0, 0, 8, 1, 1, 0, 1, 4, 0, 0, 7, 0, 0, 0, 8, 3, 1, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 108, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 0, 19, 1, 0, 0, 10, 1, 0]",0.6933635532855987,0.5,0.5044598612487612,0.3344283837056505,0.4022125642038719,0.671484888304862,0.09726533736829879
"[7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 6, 27, 4, 0, 8, 2, 1, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]",0.7061308324337006,0.5,0.4977538185085355,0.3639947437582129,0.420493358633776,0.6327201051248358,68.83893232373521
"[7, 0, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 8, 2, 1, 0, 7, 0, 0, 0, 8, 3, 1, 0, 0, 11, 0, 0, 0, 21, 0, 0, 4, 415, 0, 0, 6, 24, 2, 0, 2, 0, 0, 0, 8, 2, 2, 0]",0.6930145204067231,0.5,0.4916387959866221,0.4829172141918528,0.4872389791183295,0.5006570302233903,2.5223921159522433
